# word	ipa	meaning	source
#
# Two sources, and the fourth column says which is which.
#
# source=freetalk: the FreeTalk Dictionary V1, Copyright 2024-present
#   FreeTalk.fun, CC BY-NC 4.0 — NON-COMMERCIAL. A product that makes
#   money needs a licence from them. See FREETALK_LICENSE beside this
#   file. https://github.com/freetalk-fun/freetalk-dictionary-v1
#   Changed: the first short, non-circular sense of each word was
#   taken, and nothing else was kept.
#
# source=shadowline: the contractions and possessives, written for this
#   project in tools/contractions.py and under its licence, because the
#   dictionary has no entry containing an apostrophe.
#
# Rebuild with tools/build_seed_glosses.py.
called	ˈkɔld	To give a name to	freetalk
different	ˈdɪfɝənt	Not the same as something else	freetalk
having	ˈhævɪŋ	Possessing something	freetalk
set	ˈsɛt	To put or place in a particular position or arrangement	freetalk
thought	ˈθɔt	The act or process of thinking	freetalk
done	ˈdʌn	Finished or completed	freetalk
however	ˌhaʊˈɛvɝ	Nevertheless; yet	freetalk
getting	ˈɡɛtɪŋ	To come into possession of; acquire	freetalk
god	ˈɡɑd	A being believed to have power over nature and human fortunes	freetalk
government	ˈɡʌvɝmənt	The group of people with the authority to govern a country or state	freetalk
group	ˈɡɹup	A number of people or things that are located close together or are considered or classed together	freetalk
looking	ˈlʊkɪŋ	The act of directing one's gaze in a particular direction	freetalk
public	ˈpʌblɪk	Of, relating to, or affecting all or most of the people in a community	freetalk
top	ˈtɑp	The highest or uppermost part of something	freetalk
women	ˈwɪmən	An adult human female	freetalk
business	ˈbɪznəs	A person's regular occupation, profession, or trade	freetalk
care	ˈkɛɹ	The provision of what is necessary for the health, welfare, maintenance, and protection of someone or something	freetalk
start	ˈstɑɹt	To begin or set out on a journey or course	freetalk
system	ˈsɪstəm	A set of connected things or parts forming a complex whole	freetalk
times	ˈtaɪmz	Multiply	freetalk
week	ˈwik	A period of seven days	freetalk
already	ɔlˈɹɛdi	By this or that time; previously	freetalk
anything	ˈɛniˌθɪŋ	A thing of any kind	freetalk
case	ˈkeɪs	An instance of a particular situation or scenario	freetalk
nothing	ˈnʌθɪŋ	Not anything; no single thing	freetalk
person	ˈpɝsən	A human being regarded as an individual	freetalk
today	təˈdeɪ	On or in the course of this present day	freetalk
change	ˈtʃeɪndʒ	To make or become different	freetalk
enough	ɪˈnʌf	Sufficient to meet a need or satisfy a desire	freetalk
everything	ˈɛvɹiˌθɪŋ	All things; all possible things	freetalk
full	ˈfʊl	Containing or holding as much or as many as possible; having no empty space	freetalk
live	ˈlaɪv	To be alive; exist	freetalk
making	ˈmeɪkɪŋ	The act of creating or producing something	freetalk
point	ˈpɔɪnt	A sharp or tapered end	freetalk
read	ˈɹɛd	To look at and comprehend the meaning of written or printed matter by interpreting the characters or symbols of which it is composed	freetalk
there's	ˈðɛɹz	Short for 'there is' or 'there has'	shadowline
told	ˈtoʊld	Past tense of tell	freetalk
yet	ˈjɛt	Up to the present time; until now	freetalk
bad	ˈbæd	Not good in any manner or degree	freetalk
doesn't	ˈdʌzənt	Short for 'does not'	shadowline
four	ˈfɔɹ	The number equivalent to the sum of two and two	freetalk
hard	ˈhɑɹd	Not easily penetrated or cut	freetalk
mean	ˈmin	Intend to convey or refer to (something)	freetalk
once	ˈwʌns	At one time in the past	freetalk
support	səˈpɔɹt	To bear or hold up	freetalk
tell	ˈtɛl	To communicate information or facts to someone	freetalk
including	ˌɪnˈkludɪŋ	Used to introduce examples or additional information	freetalk
music	ˈmjuzɪk	Vocal or instrumental sounds combined in such a way as to produce beauty of form, harmony, and expression of emotion	freetalk
power	ˈpaʊɝ	The ability to do something or act in a particular way	freetalk
seen	ˈsin	Perceived with the eyes	freetalk
states	ˈsteɪts	A nation or territory considered as an organized political community under one government	freetalk
stop	ˈstɑp	To cease moving or proceeding	freetalk
water	ˈwɔtɝ	A colorless, transparent, odorless liquid that forms the seas, lakes, rivers, and rain and is the basis of the fluids of living organisms	freetalk
based	ˈbeɪst	Established as a foundation or starting point	freetalk
believe	bɪˈliv	Accept that (something) is true or exists	freetalk
call	ˈkɔl	To cry out in a loud voice; shout	freetalk
head	ˈhɛd	The upper part of the human body, containing the brain and the eyes, ears, nose, mouth, and jaws	freetalk
men	ˈmɛn	Plural of man	freetalk
national	ˈnæʃənəl	Of or relating to a nation	freetalk
small	ˈsmɔl	Of limited size or extent	freetalk
took	ˈtʊk	past tense of take	freetalk
white	ˈwaɪt	Reflecting nearly all the rays of sunlight or a similar light	freetalk
came	ˈkeɪm	past tense of come	freetalk
far	ˈfɑɹ	At or to a great distance	freetalk
job	ˈdʒɑb	A paid position of regular employment	freetalk
side	ˈsaɪd	A position or direction in which someone or something faces or moves	freetalk
though	ˈðoʊ	However; nevertheless	freetalk
try	ˈtɹaɪ	To attempt or make an effort	freetalk
went	ˈwɛnt	past tense of go	freetalk
yes	ˈjɛs	Used to give an affirmative response or agreement	freetalk
actually	ˈækˌtʃuəli	In reality; in fact	freetalk
later	ˈleɪtɝ	At some time in the future	freetalk
less	ˈlɛs	A smaller amount of something	freetalk
line	ˈlaɪn	A long, narrow mark or band	freetalk
order	ˈɔɹdɝ	A state in which everything is in its correct place or arrangement	freetalk
party	ˈpɑɹti	A social gathering of invited guests	freetalk
run	ˈɹʌn	Move at a speed faster than a walk	freetalk
says	ˈsɛz	To utter words with the mouth	freetalk
service	ˈsɝvəs	The action of helping or doing work for someone	freetalk
country	ˈkʌntɹi	A nation with its own government, occupying a particular territory	freetalk
open	ˈoʊpən	Allowing access, passage, or a view through an empty space or passage	freetalk
season	ˈsizən	A period of the year characterized by particular conditions of weather, temperature, etc	freetalk
shit	ˈʃɪt	Excrement	freetalk
thank	ˈθæŋk	Express gratitude or appreciation for something received or done	freetalk
children	ˈtʃɪldɹən	Plural of child	freetalk
everyone	ˈɛvɹiˌwʌn	Every person	freetalk
general	ˈdʒɛnɝəl	A commander of an army or military unit	freetalk
they're	ˈðɛɹ	Short for 'they are'	shadowline
trying	ˈtɹaɪɪŋ	Making an effort to do something	freetalk
united	juˈnaɪtɪd	Joined together as a single entity	freetalk
using	ˈjuzɪŋ	Employing something for a specific purpose	freetalk
area	ˈɛɹiə	A region or part of a town, a country, or the world	freetalk
black	ˈblæk	Of the darkest color due to the absence of or complete absorption of light	freetalk
following	ˈfɑloʊɪŋ	Coming after or as a result of	freetalk
law	ˈlɔ	A statement of fact, deduced from observation, to the effect that a particular natural or scientific phenomenon always occurs if certain conditions are present	freetalk
makes	ˈmeɪks	To cause to exist or happen; bring about	freetalk
together	təˈɡɛðɝ	In or into one gathering, group, mass, or place	freetalk
war	ˈwɔɹ	A state of armed conflict between different nations or states	freetalk
whole	ˈhoʊl	Entire; complete	freetalk
car	ˈkɑɹ	A vehicle with four wheels that is used for transportation	freetalk
face	ˈfeɪs	The front part of a person's head where the eyes, nose, and mouth are located	freetalk
five	ˈfaɪv	The number equivalent to the sum of two and three	freetalk
kind	ˈkaɪnd	Having a friendly or generous nature	freetalk
maybe	ˈmeɪbi	Perhaps; possibly	freetalk
per	ˈpɝ	For each	freetalk
president	ˈpɹɛzəˌdɛnt	The elected head of a republican state	freetalk
story	ˈstɔɹi	An account of imaginary or real people and events told for entertainment	freetalk
working	ˈwɝkɪŋ	Engaged in labor or employment	freetalk
course	ˈkɔɹs	A direction or route taken or to be taken	freetalk
games	ˈɡeɪmz	An activity engaged in for amusement or recreation	freetalk
health	ˈhɛlθ	The state of being free from illness or injury	freetalk
hope	ˈhoʊp	A feeling of expectation and desire for a certain thing to happen	freetalk
important	ˌɪmˈpɔɹtənt	Of great significance or value	freetalk
least	ˈlist	Smallest in size, amount, or degree	freetalk
means	ˈminz	A method or way of doing something	freetalk
news	ˈnuz	Information not previously known to someone	freetalk
within	wɪˈðɪn	Inside a particular area or space	freetalk
able	ˈeɪbəl	Having the power, skill, means, or opportunity to do something	freetalk
book	ˈbʊk	A written or printed work consisting of pages glued or sewn together along one side and bound in covers	freetalk
early	ˈɝli	Near the beginning of a period of time	freetalk
friends	ˈfɹɛndz	A person whom one knows and with whom one has a bond of mutual affection	freetalk
i'll	ˈaɪl	Short for 'I will'	shadowline
information	ˌɪnfɝˈmeɪʃən	Facts provided or learned about something or someone	freetalk
local	ˈloʊkəl	relating or restricted to a particular area or neighborhood	freetalk
oh	ˈoʊ	Used to express a range of emotions including surprise, disappointment, or realization	freetalk
post	ˈpoʊst	A long, sturdy piece of timber or metal set upright in the ground and used as a support or marker	freetalk
thanks	ˈθæŋks	A feeling of gratitude or appreciation	freetalk
video	ˈvɪdioʊ	The recording, reproducing, or broadcasting of moving visual images	freetalk
young	ˈjʌŋ	Having lived or existed for only a short time	freetalk
ago	əˈɡoʊ	In the past	freetalk
others	ˈʌðɝz	Those distinct from oneself	freetalk
social	ˈsoʊʃəl	Relating to society or its organization	freetalk
talk	ˈtɔk	Speak in order to give information or express ideas or feelings	freetalk
court	ˈkɔɹt	A place where legal matters are heard and decided	freetalk
fact	ˈfækt	A thing that is known or proved to be true	freetalk
given	ˈɡɪvən	Past participle of give	freetalk
guys	ˈɡaɪz	A group of people, especially males	freetalk
half	ˈhæf	One of two equal parts of something	freetalk
hand	ˈhænd	The terminal part of the human arm located below the forearm, used for grasping and holding	freetalk
isn't	ˈɪzənt	Short for 'is not'	shadowline
level	ˈlɛvəl	Having a flat and even surface	freetalk
mind	ˈmaɪnd	The element of a person that enables them to be aware of the world and their experiences	freetalk
often	ˈɔfən	Frequently; many times	freetalk
single	ˈsɪŋɡəl	Only one in number; not one of several	freetalk
become	bɪˈkʌm	Begin to be	freetalk
body	ˈbɑdi	The physical structure of a person or animal	freetalk
coming	ˈkʌmɪŋ	Approaching in time or space	freetalk
control	kənˈtɹoʊl	To have power over something or someone	freetalk
death	ˈdɛθ	The end of life; the permanent cessation of all vital functions	freetalk
food	ˈfud	Any nutritious substance that people or animals eat or drink to maintain life and growth	freetalk
guy	ˈɡaɪ	A man	freetalk
hours	ˈaʊɝz	A period of time equal to a twenty-fourth part of a day and night and divided into 60 minutes	freetalk
office	ˈɔfɪs	A room or building where people work at desks	freetalk
pay	ˈpeɪ	Give money to (someone) in return for goods or services	freetalk
problem	ˈpɹɑbləm	A matter or situation regarded as unwelcome or harmful and needing to be dealt with and overcome	freetalk
south	ˈsaʊθ	The direction opposite to that of the north	freetalk
true	ˈtɹu	In accordance with fact or reality	freetalk
we're	ˈwiɹ	Short for 'we are'	shadowline
almost	ˈɔlˌmoʊst	Very nearly; all but	freetalk
fuck	ˈfʌk	To have sexual intercourse with someone	freetalk
history	ˈhɪstɝi	The study of past events	freetalk
known	ˈnoʊn	Past participle of know	freetalk
large	ˈlɑɹdʒ	Of considerable or relatively great size	freetalk
lost	ˈlɔst	Unable to find one's way; not knowing one's whereabouts	freetalk
research	ɹiˈsɝtʃ	The systematic investigation into and study of materials and sources in order to establish facts and reach new conclusions	freetalk
room	ˈɹum	A space that can be occupied or where something can be done	freetalk
several	ˈsɛvɹəl	More than two but not many	freetalk
started	ˈstɑɹtɪd	To begin or commence an action or process	freetalk
taking	ˈteɪkɪŋ	The act of receiving or acquiring something	freetalk
university	ˌjunəˈvɝsəti	An institution of higher education offering degrees in various subjects	freetalk
win	ˈwɪn	To achieve victory in a competition or contest	freetalk
wrong	ˈɹɔŋ	Not correct or accurate	freetalk
along	əˈlɔŋ	In a line or direction parallel to	freetalk
anyone	ˈɛniˌwʌn	Any person at all	freetalk
else	ˈɛls	In addition; besides	freetalk
girl	ˈɡɝl	A female child	freetalk
john	ˈdʒɑn	A toilet	freetalk
matter	ˈmætɝ	Physical substance in general, as distinct from mind and spirit	freetalk
pretty	ˈpɹɪti	Attractive in a delicate way without being truly beautiful or handsome	freetalk
remember	ɹɪˈmɛmbɝ	Have in or be able to bring to one's mind an awareness of (someone or something from the past)	freetalk
air	ˈɛɹ	The invisible gaseous substance surrounding the earth, a mixture mainly of oxygen and nitrogen	freetalk
bit	ˈbɪt	A small piece or quantity of something	freetalk
friend	ˈfɹɛnd	A person whom one knows and with whom one has a bond of mutual affection	freetalk
hit	ˈhɪt	To strike or come into contact with forcefully	freetalk
needs	ˈnidz	Require something because it is essential or very important	freetalk
nice	ˈnaɪs	Pleasant; agreeable	freetalk
playing	ˈpleɪɪŋ	Engaging in recreational activities for enjoyment or amusement	freetalk
probably	ˈpɹɑbəˌbli	In all likelihood; very likely	freetalk
saying	ˈseɪɪŋ	A short, pithy expression that conveys a general truth or piece of advice	freetalk
understand	ˌʌndɝˈstænd	Perceive the meaning of something	freetalk
yeah	ˈjæ	Yes	freetalk
york	ˈjɔɹk	A type of pig	freetalk
class	ˈklæs	A group of students meeting regularly to study a subject	freetalk
close	ˈkloʊs	To shut something	freetalk
comes	ˈkʌmz	To move toward or arrive at a particular place	freetalk
i'd	ˈaɪd	Short for 'I would' or 'I had'	shadowline
idea	aɪˈdiə	A thought or suggestion	freetalk
international	ˌɪntɝˈnæʃənəl	Of, relating to, or involving two or more nations	freetalk
looks	ˈlʊks	The act of directing one's gaze in a particular direction	freetalk
past	ˈpæst	Gone by in time; earlier than the present	freetalk
possible	ˈpɑsəbəl	Able to be done, achieved, or happening	freetalk
wanted	ˈwɔntɪd	Desired or wished for	freetalk
cause	ˈkɑz	A person or thing that gives rise to an action, phenomenon, or condition	freetalk
due	ˈdu	Expected at a certain time or on a certain date	freetalk
happy	ˈhæpi	Feeling or showing pleasure or contentment	freetalk
human	ˈhjumən	A person, especially as distinguished from other animals	freetalk
members	ˈmɛmbɝz	A person belonging to a group or organization	freetalk
months	ˈmʌnθs	A period of time approximately equal to the period of the moon's revolution and amounting to about 30 days or 4 weeks	freetalk
move	ˈmuv	To go from one place to another	freetalk
question	ˈkwɛstʃən	A sentence worded or expressed so as to elicit information	freetalk
series	ˈsɪɹiz	A number of things or events arranged in order and connected by being alike in some way	freetalk
wait	ˈweɪt	Stay where one is or delay action until a particular time or event	freetalk
woman	ˈwʊmən	An adult human female	freetalk
ask	ˈæsk	To inquire about something by posing a question	freetalk
community	kəˈmjunəti	A group of people living in the same place or having a particular characteristic in common	freetalk
data	ˈdeɪtə	Facts and statistics collected together for reference or analysis	freetalk
late	ˈleɪt	After the expected, usual, or proper time	freetalk
leave	ˈliv	To go away from	freetalk
north	ˈnɔɹθ	The direction in which a compass needle normally points, toward the horizon on the left side of a person facing east	freetalk
saw	ˈsɔ	A tool with a toothed blade used for cutting wood or other materials	freetalk
special	ˈspɛʃəl	Better, greater, or otherwise different from what is usual	freetalk
watch	ˈwɑtʃ	To look at or observe attentively	freetalk
won't	ˈwoʊnt	Short for 'will not'	shadowline
either	ˈiðɝ	One or the other of two options	freetalk
fucking	ˈfʌkɪŋ	Used for emphasis or to express anger, annoyance, contempt, or surprise	freetalk
future	ˈfjutʃɝ	The time or period of time that is to come	freetalk
light	ˈlaɪt	The natural agent that stimulates sight and makes things visible	freetalk
